"Abstand $a$"       "Magnetfeld $B$"
"\si{\centi\meter}  "\si{\milli\tesla}"
0.9                 2.799
1                   2.8
1.1                 2.801
1.2                 2.802
1.3                 2.802
1.4                 2.802
1.5                 2.802
1.6                 2.801
1.65                2.798
7.0                 1.929
7.1                 1.889
7.2                 1.860
7.3                 1.830
7.4                 1.799
7.5                 1.764
7.6                 1.733
7.7                 1.731
7.8                 1.681
7.9                 1.644
8.0                 1.612
9.0                 1.332
10.0                1.088
11.0                0.882
12.0                0.716
13.0                0.585
